time,mean,std,cv,ci_lower,ci_upper
4.7,0.00021262838375406783,1.3079239122664115e-05,0.06151219743922779,0.00021154674979244784,0.00021379378092515635
4.800000000000001,0.0002178087515559083,1.318514619432143e-05,0.06053542890326423,0.00021670172926615376,0.00021904982132346776
4.9,0.00022312657162606628,1.3436909709180185e-05,0.06022101989582332,0.00022204762871525868,0.00022440482622289198
5.0,0.00022847171780241568,1.3543889930986793e-05,0.05928037860116965,0.00022736744129040411,0.00022972994632291822
5.1000000000000005,0.00023369648874489314,1.3694352886964085e-05,0.05859888165420004,0.00023259597359414784,0.0002349439492184783
5.2,0.0002390307213634511,1.3748961919162827e-05,0.057519643670644535,0.00023789522292267407,0.00024029374981224329
5.300000000000001,0.0002443774395268628,1.3983115330144433e-05,0.05721933807481177,0.00024318654476066312,0.00024565081719183615
5.4,0.0002497807836876258,1.4142381291013438e-05,0.05661917254891716,0.00024863143066740866,0.0002510657440530105
5.5,0.00025520726959815155,1.4333855202573588e-05,0.056165544285410145,0.0002540370654025874,0.0002564805722273792
5.6000000000000005,0.00026055662405725303,1.4634556026638526e-05,0.0561665092169095,0.0002594149562261035,0.00026185523501194677
5.7,0.00026597923935322865,1.495150489389261e-05,0.05621305230532128,0.0002647625552090568,0.00026736104865883117
5.800000000000001,0.0002713858248708368,1.5112506164976549e-05,0.05568642419761307,0.00027014143861590944,0.0002727626560500493
5.9,0.0002768837785586367,1.523499474174276e-05,0.05502306715493046,0.0002756052185516314,0.0002782632848031724
6.0,0.00022700957970945787,1.2438318990213372e-05,0.05479204448610834,0.00022595464715335925,0.0002281296504910479
6.1000000000000005,0.000232427543944924,1.2626658012426611e-05,0.05432513633331953,0.00023135762261034836,0.00023357473433107347
6.2,0.00023777985762678185,1.2673429280372236e-05,0.05329900272824787,0.0002366802932778225,0.00023893717297086636
6.300000000000001,0.0002430976087745843,1.29483645311066e-05,0.053264055522294976,0.00024200065223170083,0.0002442888063560003
6.4,0.00024860463444933316,1.3113728477013812e-05,0.05274933231257382,0.0002474791681441161,0.000249789291556382
6.5,0.0002539745899906418,1.3446650789891245e-05,0.05294486661199734,0.00025282720437178275,0.0002552006200528739
6.6000000000000005,0.0002591441141138354,1.3638325748236879e-05,0.052628344637015025,0.0002579608702642885,0.0002603360279397069
6.7,0.00026447224853025326,1.3730664417111917e-05,0.05191722191427299,0.00026332799516476607,0.0002656872618668516
6.800000000000001,0.0002698040532377997,1.4012605685336083e-05,0.05193623119140343,0.0002685873622681731,0.0002710361251634845
6.9,0.0002750794828626408,1.4142011336034465e-05,0.051410636623510704,0.0002738751791787272,0.0002762633304335543
7.0,0.00028046234609668645,1.4135190763703382e-05,0.05039960251502147,0.0002792652281339223,0.0002816297761488796
7.1000000000000005,0.00028570892766903883,1.4181496217453246e-05,0.04963616759599788,0.00028445497640292326,0.00028688937244217787
7.2,0.0002910037072613001,1.4345511909481834e-05,0.04929666375899675,0.0002897380528299355,0.00029220561637938284
7.300000000000001,0.00029614397983272994,1.4423985844601688e-05,0.048705990419757116,0.0002949084900894622,0.0002973857923650106
7.4,0.00030138836508407336,1.4447471912757555e-05,0.047936395649272594,0.0003001255928254323,0.0003026493083842105
7.5,0.00030651567669348205,1.4544123306292031e-05,0.047449851385044366,0.0003052346111599719,0.0003077768922977976
7.6000000000000005,0.00031168614854360264,1.4603903782464723e-05,0.0468545164766016,0.000310486217398818,0.0003129637334382705
7.7,0.00031695370211902516,1.500681779608445e-05,0.047347034269531775,0.00031568598893689907,0.00031826306234225554
7.800000000000001,0.00032232807805327574,1.530735106394251e-05,0.04748997095255365,0.0003210417806207029,0.00032360314332183573
7.9,0.0003275173378934055,1.556759371331589e-05,0.04753212093578554,0.00032618573292470275,0.0003288714931529977
8.0,0.0003327819248332172,1.565707230425288e-05,0.04704904664548668,0.00033139891315795133,0.00033419193420652584
8.1,0.00033992715573531306,1.623805942815719e-05,0.04776923277292115,0.00033855234709626324,0.0003413028891006988
8.200000000000001,0.0003471047153168796,1.6577960854583172e-05,0.04776069042867592,0.00034567224048959974,0.00034853120506200027
8.3,0.0003544159779416003,1.6908857930305365e-05,0.047709073469288,0.0003529015293393746,0.0003559065538847813
8.4,0.0003614770899164816,1.7018623936033646e-05,0.04708078163395018,0.00035997680688646283,0.00036294417765482664
8.5,0.0003685805793172463,1.747725735875207e-05,0.04741773804557664,0.00036711125625083277,0.0003700785312743408
8.6,0.0003752144175089334,1.7633031724515005e-05,0.046994547388614624,0.0003736221613255168,0.000376761186270753
